subregion,n
abbeville,13
acadia parish,15
accomack,36
ada,31
adair,41
adams,186
addison,23
adjuntas municipio,1
aguada municipio,1
aguadilla municipio,5
aguas buenas municipio,2
aibonito municipio,2
aiken,29
aitkin,14
alachua,32
alamance,15
alameda,69
alamosa,6
albany,86
albemarle,29
alcona,12
alcorn,6
aleutians east borough,5
aleutians west census area,7
alexander,17
alexandria city,15
alfalfa,9
alger,13
allamakee,11
allegan,27
allegany,62
alleghany,17
allegheny,145
allen,100
allen parish,15
allendale,8
alpena,8
alpine,2
amador,13
amelia,7
amherst,11
amite,9
anasco municipio,2
anchorage municipality,30
anderson,72
andrew,17
andrews,1
androscoggin,29
angelina,10
anne arundel,48
anoka,22
anson,8
antelope,12
antrim,16
apache,30
appanoose,11
appling,9
appomattox,9
aransas,5
arapahoe,49
archer,10
archuleta,6
arecibo municipio,8
arenac,12
arkansas,12
arlington,35
armstrong,45
aroostook,48
arroyo municipio,2
arthur,7
ascension parish,10
ashe,14
ashland,31
ashley,9
ashtabula,22
asotin,3
assumption parish,9
atascosa,17
atchison,19
athens,19
atkinson,5
atlantic,37
atoka,14
attala,9
audrain,14
audubon,13
auglaize,21
augusta,30
aurora,9
austin,14
autauga,13
avery,15
avoyelles parish,19
baca,9
bacon,5
bailey,7
baker,23
baldwin,36
ballard,6
baltimore,69
baltimore city,39
bamberg,9
bandera,8
banks,11
banner,4
bannock,12
baraga,8
barber,12
barbour,22
barceloneta municipio,2
barnes,19
barnstable,56
barnwell,9
barranquitas municipio,1
barren,15
barron,19
barrow,8
barry,36
bartholomew,16
barton,20
bartow,15
bastrop,14
bates,12
bath,18
baxter,15
bay,40
bayamon municipio,20
bayfield,15
baylor,1
beadle,13
bear lake,10
beaufort,35
beauregard parish,9
beaver,40
beaverhead,9
becker,21
beckham,8
bedford,65
bee,13
belknap,20
bell,44
belmont,34
beltrami,18
ben hill,5
benewah,8
bennett,6
bennington,24
benson,18
bent,5
benton,128
benzie,12
bergen,75
berkeley,34
berks,69
berkshire,42
bernalillo,54
berrien,34
bertie,10
bethel census area,27
bexar,104
bibb,33
bienville parish,14
big horn,29
big stone,11
billings,7
bingham,14
black hawk,21
blackford,8
bladen,19
blaine,33
blair,23
blanco,10
bland,7
bleckley,6
bledsoe,9
blount,32
blue earth,21
boise,9
bolivar,18
bollinger,9
bon homme,7
bond,11
bonner,19
bonneville,15
boone,137
borden,7
bosque,12
bossier parish,22
botetourt,15
bottineau,14
boulder,32
boundary,5
bourbon,25
bowie,14
bowman,5
box butte,3
box elder,18
boyd,12
boyle,7
bracken,8
bradford,41
bradley,15
branch,14
brantley,8
braxton,18
brazoria,26
brazos,19
breathitt,14
breckinridge,21
bremer,15
brevard,46
brewster,5
briscoe,3
bristol,51
bristol bay borough,3
bristol city,4
broadwater,8
bronx,28
brooke,9
brookings,12
brooks,10
broome,39
broomfield,8
broward,85
brown,121
brule,6
brunswick,33
bryan,19
buchanan,55
buckingham,11
bucks,78
buena vista,17
buena vista city,1
buffalo,32
bullitt,14
bulloch,13
bullock,9
buncombe,35
bureau,32
burke,37
burleigh,16
burleson,6
burlington,42
burnet,13
burnett,13
burt,8
butler,154
butte,35
butts,7
cabarrus,19
cabell,48
cabo rojo municipio,5
cache,20
caddo,16
caddo parish,39
caguas municipio,11
calaveras,22
calcasieu parish,20
caldwell,42
caldwell parish,5
caledonia,31
calhoun,130
callahan,8
callaway,20
calloway,10
calumet,16
calvert,15
camas,2
cambria,58
camden,72
cameron,27
cameron parish,9
camp,4
campbell,56
camuy municipio,1
canadian,17
candler,5
cannon,11
canovanas municipio,6
canyon,16
cape girardeau,22
cape may,22
carbon,57
caribou,4
carlisle,5
carlton,16
carolina municipio,17
caroline,29
carroll,209
carson,6
carson city,11
carter,52
carteret,19
carver,19
cascade,21
casey,18
cass,173
cassia,9
castro,8
caswell,14
catahoula parish,10
catano municipio,14
catawba,15
catoosa,8
catron,7
cattaraugus,41
cavalier,18
cayey municipio,5
cayuga,32
cecil,17
cedar,41
ceiba municipio,3
centre,36
cerro gordo,19
chaffee,7
chambers,20
champaign,61
chariton,13
charles,27
charles city,5
charles mix,11
charleston,42
charlevoix,10
charlotte,36
charlottesville city,6
charlton,4
chase,16
chatham,45
chattahoochee,3
chattooga,6
chautauqua,50
chaves,10
cheatham,12
cheboygan,17
chelan,16
chemung,24
chenango,28
cherokee,107
cherry,14
chesapeake city,13
cheshire,29
chester,90
chesterfield,29
cheyenne,14
chickasaw,23
chicot,6
childress,4
chilton,14
chippewa,45
chisago,15
chittenden,31
choctaw,29
chouteau,14
chowan,4
christian,59
churchill,4
ciales municipio,1
cibola,14
cidra municipio,2
cimarron,4
citrus,23
clackamas,40
claiborne,16
claiborne parish,11
clallam,11
clare,9
clarendon,12
clarion,39
clark,264
clarke,51
clatsop,9
clay,246
clayton,45
clear creek,6
clearfield,59
clearwater,17
cleburne,28
clermont,23
cleveland,54
clinch,7
clinton,158
cloud,13
coahoma,12
coal,7
coamo municipio,2
cobb,35
cochise,25
cochran,4
cocke,8
coconino,28
codington,12
coffee,42
coffey,12
coke,7
colbert,9
cole,16
coleman,13
coles,15
colfax,18
colleton,15
collier,26
collin,47
collingsworth,5
colonial heights city,1
colorado,18
colquitt,17
columbia,127
columbiana,28
columbus,16
colusa,11
comal,16
comanche,36
comerio municipio,1
concho,9
concordia parish,6
conecuh,15
conejos,8
contra costa,56
converse,5
conway,15
cook,239
cooke,16
cooper,15
coos,27
coosa,10
copiah,11
corozal municipio,2
corson,12
cortland,18
coryell,20
coshocton,19
costilla,7
cottle,2
cotton,4
cottonwood,14
covington,23
covington city,1
coweta,15
cowley,15
cowlitz,12
craig,14
craighead,19
crane,2
craven,15
crawford,158
creek,24
crenshaw,14
crisp,8
crittenden,20
crockett,10
crook,15
crosby,6
cross,9
crow wing,19
crowley,7
culberson,2
culebra municipio,1
cullman,21
culpeper,18
cumberland,175
cuming,10
currituck,15
curry,19
custer,56
cuyahoga,59
dade,18
daggett,2
dakota,33
dale,15
dallam,4
dallas,198
dane,58
daniels,7
danville city,2
dare,12
darke,25
darlington,11
dauphin,47
davidson,72
davie,6
daviess,38
davis,27
davison,7
dawes,6
dawson,30
day,14
de baca,2
de soto parish,9
de witt,14
deaf smith,7
dearborn,9
decatur,45
deer lodge,5
