Type,year_of_publish,mean
Baskin Robin International Franchise,2012,4254
Baskin Robin International Franchise,2013,4517
Baskin Robin International Franchise,2014,4833
Baskin Robin International Franchise,2015,5068
Baskin Robin International Franchise,2016,5104
Baskin Robin International Franchise,2017,5284
Baskin Robin International Franchise,2018,5422
Baskin Robin International Franchise,2019,5491
Baskin Robin US Company,2012,6
Baskin Robin US Company,2013,7
Baskin Robin US Company,2014,7
Baskin Robin US Company,2015,6
Baskin Robin US Company,2016,10
Baskin Robin US Franchise,2012,2451
Baskin Robin US Franchise,2013,2456
Baskin Robin US Franchise,2014,2460
Baskin Robin US Franchise,2015,2478
Baskin Robin US Franchise,2016,2493
Baskin Robin US Franchise,2017,2538
Baskin Robin US Franchise,2018,2560
Baskin Robin US Franchise,2019,2550
Dunkin International Franchise,2012,3068
Dunkin International Franchise,2013,3173
Dunkin International Franchise,2014,3181
Dunkin International Franchise,2015,3228
Dunkin International Franchise,2016,3319
Dunkin International Franchise,2017,3430
Dunkin International Franchise,2018,3397
Dunkin International Franchise,2019,3452
Dunkin US Company,2012,25
Dunkin US Company,2013,28
Dunkin US Company,2014,29
Dunkin US Company,2015,35
Dunkin US Company,2016,39
Dunkin US Franchise,2012,6990
Dunkin US Franchise,2013,7278
Dunkin US Franchise,2014,7648
Dunkin US Franchise,2015,8047
Dunkin US Franchise,2016,8392
Dunkin US Franchise,2017,8828
Dunkin US Franchise,2018,9141
Dunkin US Franchise,2019,9419
